Income,Sex
1.00E+05,M
75000,M
26000,M
120000,M
105000,M
45000,M
80000,M
70000,M
30000,M
31000,M
75000,M
77000,M
55000,M
140000,M
25000,M
50000,M
117000,M
49000,M
1800,M
56000,M
28000,M
150000,M
120000,M
58080,M
110000,M
110000,M
115000,M
25207,M
1.00E+05,M
62000,M
70000,M
50000,M
43000,M
42000,M
2000,M
115000,M
150000,M
75000,M
1960,M
55000,M
24000,M
110000,M
40000,M
20000,M
35000,M
130000,M
90000,M
72000,M
1.00E+05,M
6000,M
39671,M
14500,M
1.00E+05,M
53000,M
5364,M
93001,M
55000,M
52000,M
43000,M
12000,M
9660,M
41000,M
125000,M
53000,M
70000,M
80000,M
50000,M
45000,M
45000,M
10000,M
74916,M
105000,M
125000,M
150000,M
35000,M
1.00E+05,M
9000,M
30492,M
79500,M
60000,M
140000,M
30000,M
150000,M
55000,M
75000,M
60000,M
90000,M
87000,M
54000,M
90000,M
60000,M
74000,M
65002,M
400,M
85000,M
76000,M
120000,M
95000,M
55000,M
130000,M
95850,M
90000,M
130000,M
58080,M
63000,M
84000,M
50000,M
120000,M
46390,M
120000,M
60000,M
25920,M
55000,M
98000,M
78000,M
65000,M
1.00E+05,M
40000,M
17002,M
47000,M
45000,M
120000,M
82000,M
60000,M
43000,M
8500,M
34500,M
1.00E+05,M
69500,M
1.00E+05,M
1.00E+05,M
90000,M
40000,M
100002,M
88000,M
53000,M
95000,M
45000,M
148000,M
85000,M
43002,M
120000,M
107000,M
48000,M
14000,M
38002,M
25000,M
72000,M
150000,M
20010,M
50039,M
70000,M
14000,M
20000,M
19000,M
60000,M
77000,M
60000,M
55000,M
1.00E+05,M
1.00E+05,M
20000,M
95850,M
112000,M
100664,M
35000,M
150000,M
104000,M
120000,M
80000,M
112002,M
40000,M
36000,M
65000,M
1.00E+05,M
76000,M
46500,M
35000,M
75000,M
75000,M
48000,M
122000,M
92800,M
76000,M
1058,M
46000,M
30000,M
42000,M
101000,M
29000,M
10200,M
60000,M
87000,M
70000,M
10000,M
135000,M
30000,M
31400,M
150000,M
17002,M
80600,M
1.00E+05,M
40000,M
52000,M
27000,M
35000,M
10000,M
30000,M
50000,M
135000,M
80000,M
44000,M
43000,M
57000,M
112000,M
150000,M
95000,M
30000,M
3000,M
120000,M
27500,M
48000,M
1.00E+05,M
110000,M
90000,M
50000,M
36000,M
10000,M
33500,M
150000,M
16870,M
4700,M
27500,M
55000,M
135000,M
47000,M
7000,M
36000,M
50000,M
15000,M
80000,M
1.00E+05,M
45000,M
90000,M
1.00E+05,M
96000,M
135000,M
30000,M
85000,M
60000,M
22000,M
47000,M
45000,M
40000,M
11000,M
54000,M
1.00E+05,M
120000,M
79481,M
90000,M
95000,M
48000,M
85000,M
60000,M
44000,M
35000,M
20000,M
50000,M
125000,M
130000,M
50000,M
120000,M
65000,M
45000,M
1.00E+05,M
55000,M
22000,M
92000,M
20000,M
85002,M
97000,M
120000,M
40000,M
37000,M
53000,M
55000,M
80000,M
40000,M
66000,M
45000,M
105000,M
34000,M
75000,M
75000,M
150000,M
50000,M
70000,M
124000,M
85000,M
9850,M
60000,M
70000,M
1.00E+05,M
1.00E+05,M
70000,M
115000,M
60000,M
53500,M
70000,M
60000,M
65000,M
105000,M
22000,M
44000,M
38000,M
120000,M
125000,M
60000,M
50000,M
70000,M
85000,M
30000,M
41000,M
5000,M
89000,M
57479,M
130000,M
62000,M
108000,M
76000,M
5000,M
32200,M
53000,M
90000,M
5000,M
91829,M
62000,M
5001,M
74000,M
120000,M
33000,M
24000,M
29000,M
35000,M
45000,M
70000,M
130000,M
105000,M
30000,M
40000,M
98000,M
60000,M
70000,M
110000,M
71001,M
20000,M
63000,M
85000,M
70000,M
76670,M
110000,M
12000,F
42400,F
18000,F
30000,F
67000,F
28000,F
91000,F
95000,F
90000,F
40000,F
25000,F
47000,F
12000,F
30000,F
30000,F
43000,F
23400,F
75000,F
43000,F
20000,F
36500,F
98302,F
50000,F
98000,F
75000,F
60000,F
40000,F
28000,F
10000,F
20000,F
17000,F
47000,F
36000,F
50002,F
62100,F
30000,F
39000,F
70000,F
8900,F
1.00E+05,F
30000,F
83000,F
30800,F
56000,F
37563,F
80000,F
55000,F
32000,F
60002,F
48000,F
32000,F
143000,F
80000,F
15000,F
5500,F
22759,F
27000,F
36002,F
9600,F
26100,F
40000,F
45000,F
121000,F
38000,F
350,F
32000,F
1820,F
2000,F
44240,F
23400,F
1100,F
12000,F
55000,F
23000,F
90000,F
88000,F
1.00E+05,F
29000,F
67000,F
42000,F
29000,F
18000,F
125000,F
45000,F
80000,F
20000,F
9100,F
44000,F
44000,F
59000,F
84000,F
30500,F
54000,F
30000,F
52000,F
4000,F
10000,F
54000,F
40000,F
20000,F
16000,F
22000,F
45200,F
95000,F
65000,F
50000,F
5000,F
25000,F
44000,F
60000,F
40000,F
52000,F
54000,F
28002,F
31000,F
1.00E+05,F
2000,F
300,F
38000,F
118000,F
55000,F
35000,F
18500,F
40000,F
80000,F
6000,F
33000,F
78000,F
67000,F
22638,F
40000,F
35000,F
36000,F
28000,F
65000,F
17000,F
66500,F
40000,F
25000,F
150000,F
62000,F
8000,F
110000,F
27000,F
78000,F
6500,F
101390,F
45000,F
41768,F
82000,F
15360,F
18000,F
40000,F
5480,F
40000,F
15000,F
60000,F
52000,F
102000,F
58330,F
6000,F
51000,F
38000,F
50000,F
41000,F
44000,F
40000,F
60000,F
42000,F
22000,F
150000,F
40000,F
90000,F
60000,F
13000,F
6000,F
70000,F
70000,F
38000,F
11000,F
39000,F
24000,F
42000,F
150000,F
30000,F
5600,F
11300,F
17000,F
102000,F
11000,F
36000,F
40,F
60000,F
49900,F
27000,F
10000,F
22150,F
45000,F
33000,F
88000,F
145000,F
64000,F
55000,F
42000,F
60000,F
88000,F
23000,F
16000,F
25000,F
45800,F
42200,F
35000,F
13000,F
50000,F
4000,F
60002,F
35000,F
56000,F
45000,F
35000,F
58666,F
56000,F
1700,F
25000,F
50000,F
9000,F
18000,F
50000,F
92000,F
76560,F
110000,F
1.00E+05,F
43000,F
36000,F
32000,F
15000,F
15600,F
59000,F
25000,F
50000,F
80000,F
45000,F
48000,F
32200,F
55000,F
1500,F
29000,F
13000,F
50000,F
85000,F
75595,F
55000,F
25000,F
50000,F
18400,F
30000,F
1.00E+05,F
1.00E+05,F
13500,F
55001,F
30000,F
27500,F
20000,F
47000,F
23000,F
55002,F
13400,F
52000,F
72500,F
60000,F
8302,F
1.00E+05,F
37000,F
28000,F
68000,F
45000,F
150000,F
40000,F
41000,F
22000,F
50000,F
45400,F
4000,F
23012,F
70000,F
35000,F
145000,F
3250,F
27000,F
26000,F
32000,F
30000,F
13800,F
600,F
96000,F
25000,F
50000,F
55000,F
73672,F
43000,F
85000,F
1800,F
8002,F
40000,F
31000,F
38000,F
20000,F
30000,F
24000,F
3000,F
115000,F
33000,F
55900,F
41002,F
53000,F
30000,F
87500,F
120000,F
21000,F
54000,F
22000,F
30000,F
52000,F
68712,F
90000,F
55000,F
42000,F
43000,F
15000,F
60000,F
72000,F
65000,F
40000,F
55000,F
57000,F
30000,F
25000,F
40000,F
43000,F
30000,F
82000,F
50000,F
39000,F
47000,F
45000,F
55000,F
40000,F
27000,F
45000,F
8000,F
40000,F
48000,F
47000,F
50000,F
40000,F
45000,F
45000,F
35000,F
40000,F
45000,F
40000,F
29000,F
98000,F
75000,F
35000,F
2500,F
95000,F
25000,F
1000,F
38000,F
36000,F
55000,F
12500,F
55000,F
150000,F
62000,F
33000,F
27000,F
130000,F
20000,F
45000,F
18246,F
45000,F
50000,F
30000,F
20000,F
12000,F
88000,F
70000,F
60000,F
40000,F
70000,F
50181,F
27000,F
25000,F
25000,F
32000,F
25000,F
83000,F
92000,F
50000,F
40000,F
35000,F
55000,F
25000,F
50000,F
27000,F
3500,F
13000,F
7500,F
130000,F
70000,F
120000,F
10400,F
29000,F
40000,F
6000,F
27000,F
26240,F
70000,F
80000,F
60000,F
16900,F
60000,F
54000,F
39000,F
25000,F
6000,F
40000,F
1.00E+05,F
51000,F
6000,F
19000,F
65000,F
65000,F
56000,F
14000,F
36000,F
28000,F
90000,F
10200,F
30000,F
55000,F
60000,F
6000,F
1.00E+05,F
40000,F
56000,F
55000,F
28000,F
25000,F
43980,F
23000,F
21000,F
30000,F
36000,F
9035,F
46200,F
27000,F
9000,F
26000,F
525,F
25000,F
1.00E+05,F
55000,F
125000,F
25000,F
1500,F
48000,F
29000,F
1.00E+05,F
15000,F
41000,F
90000,F
130000,F
58000,F
90000,F
55000,F
73000,F
32420,F
30000,F
12000,F
125000,F
28000,F
140000,F
50000,F
85000,F
96000,F
40000,F
17331,F
50000,F
52000,F
42000,F
35000,F
40000,F
18000,F
40000,F
48000,F
72001,F
36000,F
40000,F
40000,F
90000,F
27600,F
23000,F
50000,F
60000,F
16700,F
130000,F
50000,F
31000,F
57000,F
8000,F
16000,F
7500,F
17000,F
45000,F
50000,F
41000,F
74000,F
1.00E+05,F
70000,F
42000,F
35631,F
50000,F
90000,F
60000,F
3000,F
50000,F
3000,F
44000,F
51000,F
105000,F
150000,F
4526,F
31000,F
20000,F
90000,F
30000,F
47500,F
125000,F
30000,F
80000,F
22400,F
42000,F
65000,F
110000,F
50000,F
83000,F
28000,F
15000,F
65000,F
82500,F
120000,F
25000,F
42000,F
14474,F
35000,F
31000,F
90000,F
9750,F
11200,F
105000,F
38000,F
46000,F
22000,F
117000,F
60000,F
75000,F
40000,F
38000,F
16000,F
36000,F
48000,F
41000,F
77000,F
80000,F
51000,F
75000,F
1000,F
47000,F
112000,F
95000,F
69000,F
150000,F
27600,F
32000,F
54000,F
28000,F
80080,F
22000,F
120000,F
54000,F
60000,F
48000,F
55000,F
50000,F
52000,F
130000,F
600,F
18000,F
71000,F
50000,F
7200,F
88000,F
44000,F
10000,F
1.00E+05,F
137500,F
30000,F
54000,F
48000,F
3600,F
130000,F
60000,F
130000,F
49000,F
43500,F
28000,F
47407,F
25000,F
50000,F
18000,F
70000,F
50000,F
59000,F
12000,F
50000,F
60000,F
52000,F
1560,F
45000,F
28000,F
36000,F
70000,F
7500,F
55000,F
20000,F
18000,F
19500,F
102000,F
60000,F
80000,F
1500,F
125000,F
28000,F
60000,F
43000,F
32000,F
4000,F
280,F
4000,F
25731,F
36000,F
80000,F
2300,F
35000,F
90000,F
140000,F
36000,F
8000,F
60000,F
22000,F
48000,F
25000,F
36000,F
45000,F
95000,F
1700,F
1.00E+05,F
10000,F
53000,F
52000,F
8000,F
20000,F
140000,F
48000,F
72000,F
125000,F
8500,F
40000,F
30000,F
54000,F
18000,F
42000,F
130000,F
35000,F
37000,F
68000,F
63000,F
48000,F
90000,F
40000,F
40000,F
40000,F
1.00E+05,F
60000,F
78000,F
80000,F
33000,F
